Name,Email,Financial Status,Total,Refunded Amount,Created at,Lineitem sku,Lineitem name,Lineitem quantity,Lineitem price,Shipping Address1,Shipping Zip
#4001,normal1@x.com,paid,25.00,0,2025-01-05T00:00:00Z,TEE-1,Everyday Tee,1,25.00,,
#4002,normal1@x.com,paid,25.00,0,2025-03-10T00:00:00Z,TEE-1,Everyday Tee,1,25.00,,
#4003,normal2@x.com,paid,25.00,0,2025-01-06T00:00:00Z,TEE-1,Everyday Tee,1,25.00,,
#4004,normal2@x.com,paid,25.00,0,2025-03-11T00:00:00Z,TEE-1,Everyday Tee,1,25.00,,
#4005,normal3@x.com,paid,25.00,0,2025-01-07T00:00:00Z,TEE-1,Everyday Tee,1,25.00,,
#4006,normal3@x.com,paid,25.00,0,2025-03-12T00:00:00Z,TEE-1,Everyday Tee,1,25.00,,
#4007,normal4@x.com,paid,25.00,0,2025-01-08T00:00:00Z,TEE-1,Everyday Tee,1,25.00,,
#4008,normal4@x.com,paid,25.00,0,2025-03-13T00:00:00Z,TEE-1,Everyday Tee,1,25.00,,
#4009,normal5@x.com,paid,25.00,0,2025-01-09T00:00:00Z,TEE-1,Everyday Tee,1,25.00,,
#4010,normal5@x.com,paid,25.00,0,2025-03-14T00:00:00Z,TEE-1,Everyday Tee,1,25.00,,
#4011,normal6@x.com,paid,25.00,0,2025-01-10T00:00:00Z,TEE-1,Everyday Tee,1,25.00,,
#4012,normal6@x.com,paid,25.00,0,2025-03-15T00:00:00Z,TEE-1,Everyday Tee,1,25.00,,
#4013,normal7@x.com,paid,25.00,0,2025-01-11T00:00:00Z,TEE-1,Everyday Tee,1,25.00,,
#4014,normal7@x.com,paid,25.00,0,2025-03-16T00:00:00Z,TEE-1,Everyday Tee,1,25.00,,
#4015,normal8@x.com,paid,25.00,0,2025-01-12T00:00:00Z,TEE-1,Everyday Tee,1,25.00,,
#4016,normal8@x.com,paid,25.00,0,2025-03-17T00:00:00Z,TEE-1,Everyday Tee,1,25.00,,
#4017,normal9@x.com,paid,25.00,25.00,2025-02-01T00:00:00Z,TEE-1,Everyday Tee,1,25.00,,
#4018,normal9@x.com,paid,25.00,0,2025-04-01T00:00:00Z,TEE-1,Everyday Tee,1,25.00,,
#4019,normal10@x.com,paid,25.00,25.00,2025-02-05T00:00:00Z,TEE-1,Everyday Tee,1,25.00,,
#4020,normal10@x.com,paid,25.00,0,2025-04-05T00:00:00Z,TEE-1,Everyday Tee,1,25.00,,
#4021,serial1@x.com,paid,70.00,0,2025-01-10T00:00:00Z,DENIM-1,Classic Denim,1,70.00,,
#4022,serial1@x.com,paid,70.00,70.00,2025-03-15T00:00:00Z,DENIM-1,Classic Denim,1,70.00,,
#4023,serial1@x.com,paid,70.00,70.00,2025-05-20T00:00:00Z,DENIM-1,Classic Denim,1,70.00,,
#4024,serial1@x.com,paid,70.00,70.00,2025-07-25T00:00:00Z,DENIM-1,Classic Denim,1,70.00,,
#4025,dup1@x.com,paid,80.00,0,2025-02-10T00:00:00Z,JACKET-X,Field Jacket,1,80.00,400 Birch Ln,97204
#4026,dup1@x.com,paid,80.00,80.00,2025-06-15T00:00:00Z,JACKET-X,Field Jacket,1,80.00,400 Birch Ln,97204
#4027,dup2@x.com,paid,80.00,80.00,2025-02-20T00:00:00Z,JACKET-X,Field Jacket,1,80.00,400 Birch Ln,97204
#4028,dup2@x.com,paid,80.00,80.00,2025-06-25T00:00:00Z,JACKET-X,Field Jacket,1,80.00,400 Birch Ln,97204
#4029,brack@x.com,paid,270.00,180.00,2025-03-01T00:00:00Z,JKT-S,Trail Jacket - Small,1,90.00,,
#4029,,,,,,JKT-M,Trail Jacket - Medium,1,90.00,,
#4029,,,,,,JKT-L,Trail Jacket - Large,1,90.00,,
#4030,skubuyer1@x.com,paid,120.00,120.00,2025-04-10T00:00:00Z,SKU-HOOD,Trail Hoodie,2,60.00,,
#4031,skubuyer2@x.com,paid,120.00,120.00,2025-04-15T00:00:00Z,SKU-HOOD,Trail Hoodie,2,60.00,,
#4032,skubuyer3@x.com,paid,120.00,60.00,2025-04-20T00:00:00Z,SKU-HOOD,Trail Hoodie,2,60.00,,
