Order Name,Email,Sku,Quantity,Reason,Status,Refund Amount,Created At,Processed At
#4017,normal9@x.com,TEE-1,1,UNWANTED,CLOSED,25.00,2025-02-03T00:00:00Z,2025-02-05T00:00:00Z
#4019,normal10@x.com,TEE-1,1,UNWANTED,CLOSED,25.00,2025-02-06T00:00:00Z,2025-02-08T00:00:00Z
#4022,serial1@x.com,DENIM-1,1,OTHER,CLOSED,70.00,2025-03-27T00:00:00Z,2025-03-29T00:00:00Z
#4023,serial1@x.com,DENIM-1,1,OTHER,CLOSED,70.00,2025-05-30T00:00:00Z,2025-06-01T00:00:00Z
#4024,serial1@x.com,DENIM-1,1,OTHER,CLOSED,70.00,2025-08-08T00:00:00Z,2025-08-10T00:00:00Z
#4026,dup1@x.com,JACKET-X,1,OTHER,CLOSED,80.00,2025-06-24T00:00:00Z,2025-06-26T00:00:00Z
#4027,dup2@x.com,JACKET-X,1,OTHER,CLOSED,80.00,2025-02-28T00:00:00Z,2025-03-02T00:00:00Z
#4028,dup2@x.com,JACKET-X,1,OTHER,CLOSED,80.00,2025-07-10T00:00:00Z,2025-07-12T00:00:00Z
#4029,brack@x.com,JKT-S,1,SIZE_TOO_LARGE,CLOSED,90.00,2025-03-07T00:00:00Z,2025-03-09T00:00:00Z
#4029,brack@x.com,JKT-L,1,SIZE_TOO_SMALL,CLOSED,90.00,2025-03-08T00:00:00Z,2025-03-10T00:00:00Z
#4030,skubuyer1@x.com,SKU-HOOD,2,SIZE_TOO_SMALL,CLOSED,120.00,2025-04-13T00:00:00Z,2025-04-15T00:00:00Z
#4031,skubuyer2@x.com,SKU-HOOD,2,SIZE_TOO_SMALL,CLOSED,120.00,2025-04-17T00:00:00Z,2025-04-19T00:00:00Z
#4032,skubuyer3@x.com,SKU-HOOD,1,SIZE_TOO_SMALL,CLOSED,60.00,2025-04-24T00:00:00Z,2025-04-26T00:00:00Z
